epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,78.9582,1.70523,0.64417,0.73489,0.01085,0.14208,0.01004,0.0078,2.41142,0.93673,1.31966,0.000333333,0.000333333,0.000333333
2,136.277,1.25364,0.6329,0.49809,0.37888,0.48634,0.42772,0.33238,0.38628,0.95398,0.08066,0.0009802,0.0009802,0.0009802
3,189.855,0.46123,0.83057,0.1144,0.37888,0.48634,0.42772,0.33238,0.38628,0.95398,0.08066,0.00160067,0.00160067,0.00160067
4,247.59,0.95827,0.50461,0.26624,0.77162,0.77596,0.85038,0.49087,0.50638,0.58463,0.09682,0.0018812,0.0018812,0.0018812
5,304.173,1.32918,0.39268,0.66007,0.77162,0.77596,0.85038,0.49087,0.50638,0.58463,0.09682,0.0018416,0.0018416,0.0018416
6,358.114,0.77255,0.52044,0.21084,0.72876,0.86339,0.85451,0.47489,0.50725,0.75739,0.09321,0.001802,0.001802,0.001802
7,413.284,0.63876,0.52633,0.09852,0.72876,0.86339,0.85451,0.47489,0.50725,0.75739,0.09321,0.0017624,0.0017624,0.0017624
8,466.322,0.35731,0.56907,0.06849,0.79085,0.82514,0.89983,0.68204,0.27501,0.71396,0.05288,0.0017228,0.0017228,0.0017228
9,522.359,0.44935,0.55737,0.11123,0.79085,0.82514,0.89983,0.68204,0.27501,0.71396,0.05288,0.0016832,0.0016832,0.0016832
10,577.821,0.51766,0.66867,0.07842,0.32205,0.20765,0.19973,0.05732,1.06437,1.2675,0.2209,0.0016436,0.0016436,0.0016436
11,629.613,0.44361,1.36645,0.09738,0.32205,0.20765,0.19973,0.05732,1.06437,1.2675,0.2209,0.001604,0.001604,0.001604
12,685.828,0.50273,0.83363,0.08755,0.35981,0.44809,0.29865,0.20532,0.62156,1.15838,0.13878,0.0015644,0.0015644,0.0015644
13,738.013,0.55218,0.81136,0.20514,0.35981,0.44809,0.29865,0.20532,0.62156,1.15838,0.13878,0.0015248,0.0015248,0.0015248
14,789.734,0.56663,0.70876,0.14568,0.86617,0.79235,0.8783,0.66242,0.29328,0.82682,0.05708,0.0014852,0.0014852,0.0014852
15,841.88,0.31633,0.59433,0.05392,0.86617,0.79235,0.8783,0.66242,0.29328,0.82682,0.05708,0.0014456,0.0014456,0.0014456
16,893.422,0.36931,0.61111,0.06343,0.95669,0.84501,0.92929,0.67487,0.3066,0.66233,0.059,0.001406,0.001406,0.001406
17,942.831,0.31298,0.64607,0.05839,0.95669,0.84501,0.92929,0.67487,0.3066,0.66233,0.059,0.0013664,0.0013664,0.0013664
18,994.235,0.33827,0.60187,0.04899,0.97856,0.74808,0.9093,0.74773,0.22809,0.63699,0.04688,0.0013268,0.0013268,0.0013268
19,1045.4,0.30163,0.60116,0.04674,0.97856,0.74808,0.9093,0.74773,0.22809,0.63699,0.04688,0.0012872,0.0012872,0.0012872
20,1097.52,0.3067,0.57217,0.05063,0.93512,0.78759,0.91427,0.76839,0.21917,0.64579,0.0458,0.0012476,0.0012476,0.0012476
21,1151.04,0.34907,0.57083,0.04831,0.93512,0.78759,0.91427,0.76839,0.21917,0.64579,0.0458,0.001208,0.001208,0.001208
22,1203.73,0.22312,0.53465,0.03669,0.9117,0.86339,0.93104,0.73928,0.26186,0.48558,0.05294,0.0011684,0.0011684,0.0011684
23,1257.23,0.29982,0.42963,0.05288,0.9117,0.86339,0.93104,0.73928,0.26186,0.48558,0.05294,0.0011288,0.0011288,0.0011288
24,1309.21,0.23541,0.47994,0.04613,0.68081,0.95082,0.9157,0.78469,0.21637,0.59272,0.04471,0.0010892,0.0010892,0.0010892
25,1362.73,0.29421,0.45817,0.05915,0.68081,0.95082,0.9157,0.78469,0.21637,0.59272,0.04471,0.0010496,0.0010496,0.0010496
26,1422.24,0.40429,0.41519,0.05638,0.95131,0.93443,0.96777,0.83447,0.20654,0.30261,0.04383,0.00101,0.00101,0.00101
27,1475.92,0.30052,0.35841,0.04817,0.95131,0.93443,0.96777,0.83447,0.20654,0.30261,0.04383,0.0009704,0.0009704,0.0009704
28,1530.77,0.4135,0.42395,0.07659,0.97773,0.88525,0.93315,0.75726,0.26039,0.46937,0.05282,0.0009308,0.0009308,0.0009308
29,1580.25,0.28283,0.5801,0.05539,0.97773,0.88525,0.93315,0.75726,0.26039,0.46937,0.05282,0.0008912,0.0008912,0.0008912
30,1635.19,0.34249,0.45116,0.07072,0.98172,0.91257,0.95053,0.73565,0.27646,0.46179,0.05437,0.0008516,0.0008516,0.0008516
31,1690.99,0.3231,0.44984,0.05674,0.98172,0.91257,0.95053,0.73565,0.27646,0.46179,0.05437,0.000812,0.000812,0.000812
32,1746.86,0.35377,0.40227,0.05622,0.95002,0.93443,0.95353,0.80454,0.22398,0.34021,0.04624,0.0007724,0.0007724,0.0007724
33,1797.07,0.3047,0.32585,0.07836,0.95002,0.93443,0.95353,0.80454,0.22398,0.34021,0.04624,0.0007328,0.0007328,0.0007328
34,1848.23,0.2921,0.34825,0.05347,0.90005,0.93492,0.93344,0.80009,0.20612,0.32077,0.04279,0.0006932,0.0006932,0.0006932
35,1898.58,0.28845,0.36511,0.05894,0.90005,0.93492,0.93344,0.80009,0.20612,0.32077,0.04279,0.0006536,0.0006536,0.0006536
36,1948.06,0.23697,0.34693,0.04584,0.90122,0.92896,0.92285,0.77649,0.22568,0.33626,0.04527,0.000614,0.000614,0.000614
37,2000.57,0.33866,0.38149,0.05693,0.90122,0.92896,0.92285,0.77649,0.22568,0.33626,0.04527,0.0005744,0.0005744,0.0005744
38,2051.09,0.23023,0.34287,0.05001,0.93685,0.93443,0.95585,0.7989,0.20989,0.32789,0.04259,0.0005348,0.0005348,0.0005348
39,2102.35,0.25441,0.32788,0.04416,0.93685,0.93443,0.95585,0.7989,0.20989,0.32789,0.04259,0.0004952,0.0004952,0.0004952
40,2152.42,0.26568,0.31757,0.05699,0.96466,0.92896,0.97063,0.82797,0.20781,0.30597,0.04192,0.0004556,0.0004556,0.0004556
41,2204.29,0.15091,0.32829,0.02629,0.96466,0.92896,0.97063,0.82797,0.20781,0.30597,0.04192,0.000416,0.000416,0.000416
42,2257.87,0.15265,0.32498,0.02469,0.97702,0.92939,0.97523,0.85156,0.19461,0.28798,0.04019,0.0003764,0.0003764,0.0003764
43,2309.67,0.13629,0.28592,0.02483,0.97702,0.92939,0.97523,0.85156,0.19461,0.28798,0.04019,0.0003368,0.0003368,0.0003368
